,pathBucketImage,labelledby,reviewedby,mole,no_mole,dateInserted,ratios
0,sdd_Debarpan/Images_danderm/moles/Melanoma/7-155.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
1,sdd_Debarpan/Images_danderm/moles/Melanoma/7-156-1.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
2,sdd_Debarpan/Images_danderm/moles/Melanoma/7-156-2.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
3,sdd_Debarpan/Images_danderm/moles/Melanoma/7-156-a.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
4,sdd_Debarpan/Images_danderm/moles/Melanoma/7-156-b.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
5,sdd_Debarpan/Images_danderm/moles/Melanoma/7-156.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
6,sdd_Debarpan/Images_danderm/moles/Melanoma/7-157.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
7,sdd_Debarpan/Images_danderm/moles/Melanoma/7-158.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
8,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-1.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
9,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-10.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
10,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-11.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
11,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-2.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
12,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-3.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
13,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-4.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
14,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-5.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
15,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-6.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
16,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-7.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
17,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-8.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
18,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159-9.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
19,sdd_Debarpan/Images_danderm/moles/Melanoma/7-159.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
20,sdd_Debarpan/Images_danderm/moles/Melanoma/7-160.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
21,sdd_Debarpan/Images_danderm/moles/Melanoma/7-161.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
22,sdd_Debarpan/Images_danderm/moles/Melanoma/7-162.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
23,sdd_Debarpan/Images_danderm/moles/Melanoma/7-163.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
24,sdd_Debarpan/Images_danderm/moles/Melanoma/7-164.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
25,sdd_Debarpan/Images_danderm/moles/Melanoma/7-165.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
26,sdd_Debarpan/Images_danderm/moles/Melanoma/7-166.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
27,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-1.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
28,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-10.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
29,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-2.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
30,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-3.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
31,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-4.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
32,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-5.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
33,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-6.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
34,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-7.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
35,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-8.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
36,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167-9.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
37,sdd_Debarpan/Images_danderm/moles/Melanoma/7-167.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
38,sdd_Debarpan/Images_danderm/moles/Melanoma/7-168-1.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
39,sdd_Debarpan/Images_danderm/moles/Melanoma/7-168-2.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
40,sdd_Debarpan/Images_danderm/moles/Melanoma/7-168-3.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
41,sdd_Debarpan/Images_danderm/moles/Melanoma/7-168.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
42,sdd_Debarpan/Images_danderm/moles/Melanoma/7-169.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
43,sdd_Debarpan/Images_danderm/moles/Melanoma/7-170.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
44,sdd_Debarpan/Images_danderm/moles/Melanoma/7-171.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
45,sdd_Debarpan/Images_danderm/moles/Melanoma/7-172.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
46,sdd_Debarpan/Images_danderm/moles/Melanoma/7-173.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
47,sdd_Debarpan/Images_danderm/moles/Melanoma/7-174-1.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
48,sdd_Debarpan/Images_danderm/moles/Melanoma/7-174-2.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
49,sdd_Debarpan/Images_danderm/moles/Melanoma/7-174-3.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
50,sdd_Debarpan/Images_danderm/moles/Melanoma/7-174-4.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
51,sdd_Debarpan/Images_danderm/moles/Melanoma/7-174.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
52,sdd_Debarpan/Images_danderm/moles/Melanoma/7-175.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
53,sdd_Debarpan/Images_danderm/moles/Melanoma/7-176.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
54,sdd_Debarpan/Images_danderm/moles/Melanoma/7-177.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
55,sdd_Debarpan/Images_danderm/moles/Melanoma/7-178-1.jpg,KingsAndQueensOfDataScience,N/A,True,False,2022-07-26,0
